id,groupkey,name,parent_id/id
product_category#152,152,WERKSTATTAUSRUESTUNG,O#product_category#0
product_category#153,153,INDUSTRIEBEDARF,O#product_category#0
product_category#154,154,ELEKTRIK,O#product_category#0
product_category#155,155,SPORTLENKRAEDER,O#product_category#0
product_category#156,156,ZUBEHOER-ALLGEMEIN 2,O#product_category#0
product_category#157,157,FEBI-TEILE,O#product_category#0
product_category#158,158,KATALYSATOREN,O#product_category#0
product_category#161,161,STAHLGRUBER ALTES SORTIM.,O#product_category#0
product_category#511,511,DAYCO OHNE ZUORDNUNG,O#product_category#0
product_category#501,501,HJS TEILE O.Z.,O#product_category#0
product_category#255,255,ERLSKONTO,O#product_category#0
product_category#159,159,MOTORENTEILE,O#product_category#0
product_category#160,160,SPEZIAL-ARTIKEL,O#product_category#0
product_category#163,163,HERTH&BUSS,O#product_category#0
product_category#164,164,WUETSCHNER,O#product_category#0
product_category#200,200,ENTSORGUNG,O#product_category#0
product_category#222,222,NEUANLAGEN,O#product_category#0
product_category#250,250,FREI ZUM LOESCHEN,O#product_category#0
product_category#252,252,ERLOESKONTO DINKEL.,O#product_category#0
product_category#253,253,ERLOESKONTO NOERD.,O#product_category#0
product_category#256,256,FRACHTKOSTEN,O#product_category#0
product_category#270,270,VERSANDKOSTEN,O#product_category#0
product_category#299,299,AUTOGLAS,O#product_category#0
product_category#300,300,ERSETZTE ARTIKEL,O#product_category#0
product_category#333,333,AUSLAUFARTIKEL O.Z.,O#product_category#0
product_category#366,366,LOESCHEN,O#product_category#0
product_category#372,372,VIEROL O. ZUORDNUNG,O#product_category#0
product_category#377,377,MIPA OHNE ZUORDNUNG,O#product_category#0
product_category#378,378,H&B OHNE ZUORDNUNG,O#product_category#0
product_category#379,379,US-FAHRZEUGTEILE,O#product_category#0
product_category#380,380,QH ARTIKEL O. ZUORD.,O#product_category#0
product_category#381,381,BOSCH ARTIKEL O. ZU.,O#product_category#0
product_category#382,382,HESS HELLA ART.O. ZU,O#product_category#0
product_category#383,383,STAHLGRUBER O. ZUO.,O#product_category#0
product_category#384,384,HESS ARTIKEL O. ZUO.,O#product_category#0
product_category#385,385,LEMFOERDER ART. O. ZU,O#product_category#0
product_category#386,386,GOEHRUM ARTI. O. ZUO.,O#product_category#0
product_category#387,387,HENGSTENBERG O. ZUO.,O#product_category#0
product_category#388,388,DELCO ARTIKEL O. ZU.,O#product_category#0
product_category#389,389,OPTIMAL ART. O. ZUO.,O#product_category#0
product_category#390,390,US-FAHRZEUGTEILE,O#product_category#0
product_category#391,391,US-FAHRZEUGTEILE,O#product_category#0
product_category#392,392,US-FAHRZEUGTEILE,O#product_category#0
product_category#393,393,US-FAHRZEUGTEILE,O#product_category#0
product_category#394,394,OPEL-TEILE,O#product_category#0
product_category#395,395,RENAULT-TEILE,O#product_category#0
product_category#396,396,FIAT TEILE,O#product_category#0
product_category#397,397,VW-TEILE,O#product_category#0
product_category#398,398,FEBI ARTIKEL O. ZUO.,O#product_category#0
product_category#399,399,PEX O. ZUORDNUNG,O#product_category#0
product_category#400,400,FAHRRAD U. ZUBEHOER,O#product_category#0
product_category#401,401,DIEDERICHS DIVERSE,O#product_category#0
product_category#405,405,VERGLASUNG,O#product_category#0
product_category#449,449,FAHRRAD U. ZUBEHOER,O#product_category#0
product_category#450,450,FREIE WARENGRUPPE,O#product_category#0
product_category#499,499,RADSENSOREN,O#product_category#0
product_category#500,500,KALK. DUP. WARENGRUPPE,O#product_category#0
product_category#502,502,KALK. DUP. SCHEMA 02,O#product_category#0
product_category#503,503,KALK. DUP. SCHEMA 03,O#product_category#0
product_category#504,504,KALK. DUP. SCHEMA 04,O#product_category#0
product_category#505,505,KALK. DUP. SCHEMA05,O#product_category#0
product_category#506,506,KALK. DUP. SCHEMA 6,O#product_category#0
product_category#507,507,WALKER O. ZUORDNUNG,O#product_category#0
product_category#508,508,KALK. DUP. SCHEMA 8,O#product_category#0
product_category#509,509,KALK. DUP. SCHEMA 9,O#product_category#0
product_category#510,510,KALK. DUP. SCHEMA10,O#product_category#0
product_category#512,512,TRISCAN OHNE ZUORDUNG,O#product_category#0
product_category#513,513,METZGER OHNE ZUORDNUNG,O#product_category#0
product_category#514,514,KALK. DUP. SCHEMA 14,O#product_category#0
product_category#515,515,BOSAL-OHNE ZUORDNUNG,O#product_category#0
product_category#516,516,VEMO VAICO OHNE ZUORDNUNG,O#product_category#0
product_category#517,517,KALK. DUP. SCHEMA 17,O#product_category#0
product_category#518,518,SCHAEFERBARTHOLD O. ZUORDNUNG,O#product_category#0
product_category#519,519,MIPA OHNE ZUORDNUNG,O#product_category#0
product_category#520,520,HERTH&BUSS O. ZUORD.,O#product_category#0
