id,partner_id/id,partner_shipping_ids/id,tour_pricing_id/.id
partner_tour_config#24938,res_partner_id#24938,res_partner_id#24938,2
partner_tour_config#24890,res_partner_id#24890,res_partner_id#24890,2
partner_tour_config#24958,res_partner_id#24958,res_partner_id#24958,2
partner_tour_config#24891,res_partner_id#24891,res_partner_id#24891,2
partner_tour_config#22296,res_partner_id#22296,res_partner_id#22296,2
partner_tour_config#24161,res_partner_id#24161,res_partner_id#24161,2
partner_tour_config#22210,res_partner_id#22210,res_partner_id#22210,2
partner_tour_config#24225,res_partner_id#24225,res_partner_id#24225,2
partner_tour_config#24893,res_partner_id#24893,res_partner_id#24893,2
partner_tour_config#24272,res_partner_id#24272,res_partner_id#24272,2
partner_tour_config#22211,res_partner_id#22211,res_partner_id#22211,2
partner_tour_config#23523,res_partner_id#23523,res_partner_id#23523,2
partner_tour_config#22383,res_partner_id#22383,res_partner_id#22383,2
partner_tour_config#24515,res_partner_id#24515,res_partner_id#24515,2
partner_tour_config#22206,res_partner_id#22206,res_partner_id#22206,2
partner_tour_config#24634,res_partner_id#24634,res_partner_id#24634,2
partner_tour_config#24894,res_partner_id#24894,res_partner_id#24894,2
partner_tour_config#24895,res_partner_id#24895,res_partner_id#24895,2
partner_tour_config#24913,res_partner_id#24913,res_partner_id#24913,2
partner_tour_config#24939,res_partner_id#24939,res_partner_id#24939,2
partner_tour_config#24896,res_partner_id#24896,res_partner_id#24896,2
partner_tour_config#24951,res_partner_id#24951,res_partner_id#24951,2
partner_tour_config#24925,res_partner_id#24925,res_partner_id#24925,2
partner_tour_config#24274,res_partner_id#24274,res_partner_id#24274,2
partner_tour_config#24940,res_partner_id#24940,res_partner_id#24940,2
partner_tour_config#24952,res_partner_id#24952,res_partner_id#24952,2
partner_tour_config#24273,res_partner_id#24273,res_partner_id#24273,2
partner_tour_config#22434,res_partner_id#22434,res_partner_id#22434,2
partner_tour_config#24897,res_partner_id#24897,res_partner_id#24897,2
partner_tour_config#23525,res_partner_id#23525,res_partner_id#23525,2
partner_tour_config#24926,res_partner_id#24926,res_partner_id#24926,2
partner_tour_config#22227,res_partner_id#22227,res_partner_id#22227,2
partner_tour_config#22228,res_partner_id#22228,res_partner_id#22228,2
